time,"12/18/2013","12/20/2013","12/29/2013","12/31/2013","1/2/2014","1/5/2014","1/9/2014","1/13/2014","1/22/2014","1/25/2014","1/27/2014","1/29/2014","1/31/2014","2/3/2014","2/11/2014","2/16/2014","2/18/2014","2/20/2014","2/24/2014","2/25/2014","2/27/2014","2/28/2014","3/3/2014","3/4/2014","3/6/2014","3/8/2014","3/10/2014","3/11/2014","3/13/2014","3/15/2014","3/17/2014","3/18/2014","3/20/2014","3/22/2014","3/24/2014","3/25/2014","3/27/2014","3/29/2014","3/31/2014","4/1/2014","4/7/2014","4/8/2014","4/9/2014","4/12/2014","4/14/2014","4/15/2014","4/16/2014","4/19/2014","4/21/2014","4/22/2014","4/23/2014","4/26/2014","4/28/2014","4/30/2014","5/1/2014","5/3/2014","5/6/2014","5/13/2014","5/14/2014","5/15/2014","5/17/2014","5/20/2014","5/21/2014","5/23/2014","5/25/2014","5/28/2014","6/3/2014","6/4/2014","6/5/2014","6/7/2014","6/10/2014","6/11/2014","6/18/2014","6/19/2014","6/24/2014","6/25/2014","6/27/2014","7/6/2014","7/8/2014","7/9/2014","7/10/2014","7/13/2014","7/15/2014","7/16/2014","7/17/2014","7/19/2014","7/21/2014","7/24/2014","7/27/2014","7/30/2014","7/31/2014","8/2/2014","8/8/2014","8/8/2014","8/14/2014","8/16/2014","8/18/2014","8/19/2014","8/21/2014","8/24/2014","8/25/2014","8/26/2014","8/29/2014","8/30/2014","9/1/2014","9/4/2014","9/6/2014"

temperature,58.5,54.25,52,54.25,57.25,60.75,61,57.5,59.5,55.5,50.25,54.75,61.25,60.75,66.5,70.75,67.25,67.5,61,55.75,56.75,57.25,55,62.25,66,66.5,68.25,71.5,70.25,71.25,71.5,71.25,70.75,66.25,68.75,72.5,73.75,67.75,69,68,63.5,57.5,56,57.75,55.5,56.5,60.75,66.25,66.75,65.25,63,68.25,68.25,65.75,64.75,64,63.25,63,65.75,69.75,75.5,73.25,75,75.75,76.5,78,77.5,76.25,79.5,79.75,78.75,80.5,83.75,83.5,83.75,82.75,82.75,85,85.25,87.75,88.5,88.75,88,88.25,88.25,87.5,87.25,84.75,85.5,86.25,88.75,92.25,95.75,95,92.25,93,92.75,91.5,88.5,90.75,89.5,87.5,87.25,89.5,88,87,89

humidity,54.5,50.75,53,42.75,40.25,36,34.5,22.75,28,37,48.75,56,62,57.25,56.5,56.25,51.5,47.5,52,52.75,43.5,54.75,60.5,61,52.5,64.25,49.25,40.75,37.5,49.5,39.5,41.5,48.5,57.25,48.25,48.75,51.75,57.5,54.75,58.25,56.25,58.5,56.5,59.25,66,74,79.75,81.5,76,65.25,61.75,47.5,46.25,55.5,65.5,69.75,74.5,75.25,74.5,73.25,67.5,76.75,77,77,77,76.75,74,73.25,65.5,66,69.5,71.5,67.5,67.5,66.5,67.5,67,62.25,63,56.5,57.25,55.25,58,58,57,56.25,59.25,61.75,58.5,57.25,47.5,37.5,32,33,41.5,43.25,43.5,46,54.25,47.75,50.5,55.75,56.75,51.25,53.75,54.5,50

ave_pace,12.75,12.5,12.25,12,12,12,12.25,12.25,12.5,12.5,12.25,12.5,12.75,12.5,12.25,12.25,11.75,11.5,11.75,11.75,12,12,12,11.75,11.75,11.75,11.75,11.75,11.75,12,12,12,12,12,11.75,12,11.75,12,11.75,12,12,12.25,12,12.25,12.25,12.25,12.25,12.75,12.5,12.5,12.25,12.5,12.25,12.25,12.25,12.5,12.5,12.5,12.75,12.75,13,12.75,13,13,13.25,13,13.25,12.75,12.75,12.75,13.25,13,13.5,13,13,12.5,12.25,12,12.5,12.25,12.5,12.75,13,13.25,13.5,13.75,14,14,14,14,14.25,14.25,14.25,14.25,14.5,14.75,14.5,14.5,14.5,14.5,14.5,14.5,14.75,14.75,15,14.75,15.25

combined,112.75,105,105,97,97.5,96.75,95.5,80.25,87.5,92.5,99,110.75,123.25,118,122.75,127,118.5,115.25,113,108.5,100.5,112,115.5,123.25,118.5,130.5,117.5,112.25,107.75,120.5,111.25,112.75,119.25,123.5,117,121.25,125.5,125.25,123.75,126.25,119.75,116,112.5,117,121.5,130.5,140.5,147.5,142.75,130.5,124.75,115.5,114.5,121.25,130.25,133.75,137.75,138.25,140.25,143,143,150,152,152.75,153.5,154.75,151.5,149.5,144.75,145.75,148.25,152,151.25,151,150,150.25,149.75,147,148.25,144.5,145.75,144,146,146.25,145.25,143.75,146.5,146.5,144,143.5,136.5,129.75,127.75,128,133.75,136.25,136.5,137.5,142.75,138.5,140.25,143.5,144,140.75,141.75,141.5,139

